               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024635,            0.022307,            0.031501,             0.71784,              0.7031,             0.77364,             0.60274,            0.014526,            0.010138,            0.016519,           0.0099728,           0.0099728,           0.0099728
                  37,            0.025061,            0.022993,            0.031392,             0.68876,             0.66917,             0.73469,             0.56803,            0.014742,            0.010123,            0.017432,           0.0099713,           0.0099713,           0.0099713
                  38,            0.025298,            0.022398,            0.032612,             0.69614,             0.69375,             0.75357,              0.5957,            0.014378,           0.0097984,            0.017081,           0.0099696,           0.0099696,           0.0099696
                  39,            0.024899,            0.022574,            0.030204,             0.73294,             0.71626,             0.78601,             0.62304,            0.014273,           0.0097058,            0.016393,            0.009968,            0.009968,            0.009968
                  40,             0.02443,            0.021971,             0.02833,             0.74239,             0.68714,             0.77484,             0.61571,            0.014214,           0.0096464,            0.018254,           0.0099663,           0.0099663,           0.0099663
                  41,            0.025265,            0.022541,            0.029629,             0.74565,             0.69832,              0.7606,               0.603,            0.014276,           0.0096774,              0.0177,           0.0099645,           0.0099645,           0.0099645
                  42,            0.024426,            0.022675,            0.030905,             0.74129,             0.71977,             0.78901,              0.6246,            0.014358,            0.009855,            0.014608,           0.0099627,           0.0099627,           0.0099627
                  43,            0.024529,            0.022277,            0.028235,             0.72852,             0.69847,               0.776,             0.61417,            0.014255,           0.0098473,            0.015163,           0.0099609,           0.0099609,           0.0099609
                  44,            0.024027,            0.022248,            0.028477,             0.74757,             0.72258,             0.78922,              0.6242,            0.014531,           0.0097414,            0.014878,            0.009959,            0.009959,            0.009959
                  45,             0.02394,            0.022247,            0.029437,             0.76666,             0.69275,             0.77817,             0.61318,            0.013932,           0.0098694,             0.01798,           0.0099571,           0.0099571,           0.0099571
                  46,            0.023737,            0.022138,            0.027602,             0.78168,             0.69231,             0.79336,             0.62782,            0.014067,           0.0097357,            0.015126,           0.0099551,           0.0099551,           0.0099551
                  47,            0.023911,            0.022265,            0.026387,             0.73614,             0.74888,              0.7969,             0.63476,            0.014545,           0.0096096,            0.015461,           0.0099531,           0.0099531,           0.0099531
                  48,            0.023943,            0.021873,            0.027243,             0.80278,             0.71299,             0.81295,             0.64424,            0.014139,           0.0097932,            0.015614,            0.009951,            0.009951,            0.009951
                  49,            0.023763,            0.021838,            0.025963,             0.78673,              0.7074,             0.80518,             0.64796,            0.013643,           0.0095797,            0.016807,           0.0099489,           0.0099489,           0.0099489
                  50,            0.024191,            0.021575,            0.026403,             0.74572,             0.74597,             0.80978,             0.64834,            0.013812,           0.0095295,            0.015784,           0.0099468,           0.0099468,           0.0099468
                  51,            0.024351,            0.022181,            0.027412,              0.7459,             0.75203,             0.81212,             0.64669,            0.013831,           0.0096242,            0.014624,           0.0099446,           0.0099446,           0.0099446
                  52,            0.023564,             0.02206,            0.026968,              0.7721,             0.72533,             0.81047,             0.64606,            0.013745,           0.0095182,            0.015573,           0.0099424,           0.0099424,           0.0099424
                  53,            0.023792,            0.021526,            0.026522,             0.80252,             0.73326,             0.82052,             0.65619,            0.013845,           0.0095357,            0.014099,           0.0099401,           0.0099401,           0.0099401
                  54,            0.023601,            0.022523,            0.027908,             0.75432,             0.70372,             0.79396,             0.63477,            0.013942,           0.0096942,            0.016903,           0.0099378,           0.0099378,           0.0099378
                  55,            0.023906,            0.021929,            0.026047,             0.81922,             0.71583,             0.82174,             0.65818,            0.013443,           0.0095395,            0.015497,           0.0099354,           0.0099354,           0.0099354
                  56,            0.024123,             0.02181,            0.025012,             0.79648,             0.73182,             0.82745,             0.66308,            0.014259,           0.0095523,            0.014943,            0.009933,            0.009933,            0.009933
                  57,            0.023341,            0.021479,            0.026616,             0.79196,               0.735,             0.82558,             0.65711,            0.014079,           0.0097638,             0.01394,           0.0099305,           0.0099305,           0.0099305
                  58,             0.02356,            0.021358,            0.025339,             0.83689,             0.74048,              0.8417,             0.67804,             0.01403,           0.0093106,            0.011785,            0.009928,            0.009928,            0.009928
                  59,            0.023168,            0.021409,            0.024959,             0.80513,             0.72171,             0.83024,             0.67477,            0.013358,           0.0092402,            0.013293,           0.0099255,           0.0099255,           0.0099255
                  60,            0.023429,            0.021045,            0.024015,             0.77814,             0.77108,             0.83431,             0.67751,            0.013837,           0.0095083,             0.01307,           0.0099229,           0.0099229,           0.0099229
                  61,            0.023364,            0.021184,            0.022577,             0.81051,             0.72744,             0.82508,             0.67024,            0.013117,           0.0093036,            0.016844,           0.0099203,           0.0099203,           0.0099203
                  62,            0.024027,            0.021334,            0.026994,              0.7676,             0.78128,             0.83385,              0.6713,            0.013389,           0.0095596,            0.013131,           0.0099176,           0.0099176,           0.0099176
                  63,            0.023425,            0.021294,             0.02499,              0.7789,             0.76371,             0.83866,             0.67681,            0.013313,           0.0092568,            0.011855,           0.0099149,           0.0099149,           0.0099149
                  64,            0.022344,            0.021215,            0.023921,             0.80027,             0.76285,             0.84173,             0.68695,            0.013366,           0.0094365,            0.012971,           0.0099121,           0.0099121,           0.0099121
                  65,            0.023397,            0.021762,            0.024537,             0.80472,             0.73888,             0.83486,             0.67813,            0.013227,           0.0093318,            0.013268,           0.0099093,           0.0099093,           0.0099093
                  66,            0.022839,            0.020863,            0.022902,             0.79104,             0.75703,             0.83903,             0.68443,            0.013011,           0.0092413,            0.012341,           0.0099065,           0.0099065,           0.0099065
                  67,            0.023128,            0.020688,            0.022366,             0.77295,             0.78806,             0.84522,             0.68393,             0.01325,           0.0092988,            0.011877,           0.0099036,           0.0099036,           0.0099036
                  68,            0.023453,            0.020865,            0.023578,             0.78454,              0.7566,             0.84751,             0.68904,            0.013188,           0.0091869,            0.012716,           0.0099007,           0.0099007,           0.0099007
                  69,            0.022846,            0.021057,            0.023701,             0.77083,             0.76225,              0.8321,              0.6727,            0.013374,           0.0094999,            0.012569,           0.0098977,           0.0098977,           0.0098977
                  70,            0.022703,             0.02117,            0.023014,             0.80247,             0.78235,             0.84782,              0.6916,            0.013088,           0.0092561,            0.011921,           0.0098947,           0.0098947,           0.0098947
                  71,            0.022914,            0.020857,            0.022761,             0.79369,             0.78523,             0.85148,             0.69494,            0.013647,           0.0092904,            0.012837,           0.0098916,           0.0098916,           0.0098916
                  72,            0.022668,            0.020729,            0.021887,             0.82775,             0.76222,             0.85094,              0.6931,            0.013362,             0.00939,            0.012346,           0.0098885,           0.0098885,           0.0098885
                  73,            0.022615,            0.021128,             0.02481,             0.79768,             0.73779,             0.83885,             0.68227,            0.013306,           0.0094586,            0.013012,           0.0098854,           0.0098854,           0.0098854
                  74,            0.022477,            0.021141,            0.025151,             0.82424,             0.74166,             0.84663,              0.6905,            0.013158,           0.0093733,            0.011378,           0.0098822,           0.0098822,           0.0098822
                  75,            0.023124,            0.021149,            0.023615,             0.78222,             0.78789,             0.84749,              0.6914,            0.013099,           0.0093871,            0.013074,           0.0098789,           0.0098789,           0.0098789
                  76,            0.022208,            0.021016,              0.0225,              0.8091,             0.77945,             0.86039,             0.70204,            0.013331,           0.0093506,             0.01124,           0.0098757,           0.0098757,           0.0098757
                  77,            0.022763,            0.021552,            0.023108,             0.84406,             0.73136,             0.85147,             0.69558,             0.01298,           0.0094554,            0.011243,           0.0098723,           0.0098723,           0.0098723
                  78,            0.022705,            0.020829,            0.022371,             0.81047,             0.78853,             0.86649,             0.70839,            0.013069,           0.0092316,            0.011422,            0.009869,            0.009869,            0.009869
                  79,             0.02203,            0.020246,            0.021004,             0.84796,             0.75833,             0.86046,             0.70997,            0.012694,           0.0090763,            0.011111,           0.0098656,           0.0098656,           0.0098656
                  80,            0.022103,            0.019924,            0.020672,             0.84325,             0.78213,             0.87019,             0.71366,            0.012819,           0.0091772,            0.011196,           0.0098621,           0.0098621,           0.0098621
                  81,            0.021423,            0.020369,            0.021984,             0.81029,             0.77029,             0.85514,              0.7002,            0.012904,           0.0092742,             0.01075,           0.0098586,           0.0098586,           0.0098586
                  82,            0.022605,            0.020222,            0.021686,             0.82125,             0.78664,             0.86575,             0.71046,             0.01298,           0.0093078,            0.010378,           0.0098551,           0.0098551,           0.0098551
                  83,            0.023518,            0.020906,            0.020807,              0.8256,             0.79087,             0.86462,             0.70644,            0.012977,           0.0092808,             0.01042,           0.0098515,           0.0098515,           0.0098515
                  84,            0.023582,            0.020369,            0.020839,             0.81941,             0.76928,             0.85824,             0.70299,            0.012785,           0.0090729,            0.011915,           0.0098479,           0.0098479,           0.0098479
                  85,            0.021964,            0.020266,            0.020394,             0.84558,             0.78109,             0.87189,             0.72065,            0.012875,           0.0091328,            0.010488,           0.0098442,           0.0098442,           0.0098442
                  86,             0.02227,            0.020137,            0.019133,             0.82009,             0.79777,             0.87111,              0.7249,             0.01257,           0.0091815,           0.0099028,           0.0098405,           0.0098405,           0.0098405
                  87,             0.02209,            0.020268,             0.01915,             0.82856,              0.8058,             0.88027,             0.72681,            0.012725,           0.0092007,             0.01002,           0.0098368,           0.0098368,           0.0098368
                  88,            0.022051,            0.020076,            0.020126,             0.82732,             0.78557,             0.86298,             0.71444,            0.012952,           0.0091789,            0.012333,            0.009833,            0.009833,            0.009833
                  89,            0.022515,            0.021177,            0.025415,             0.84771,             0.75768,             0.86289,             0.70679,            0.012971,           0.0092047,             0.01208,           0.0098291,           0.0098291,           0.0098291
                  90,            0.021811,            0.020367,            0.020182,             0.82207,             0.79768,             0.87228,             0.71946,            0.012751,            0.008981,            0.011125,           0.0098252,           0.0098252,           0.0098252
                  91,             0.02342,            0.020592,            0.021764,             0.80304,             0.80259,             0.86498,             0.71353,            0.012995,           0.0090705,            0.010495,           0.0098213,           0.0098213,           0.0098213
                  92,            0.022204,            0.020259,             0.02239,             0.83633,             0.79276,             0.87085,             0.71678,            0.012858,           0.0089973,            0.010602,           0.0098174,           0.0098174,           0.0098174
                  93,            0.022072,             0.02046,            0.020217,             0.80548,             0.81892,             0.87889,             0.72173,            0.012932,           0.0092162,           0.0091023,           0.0098133,           0.0098133,           0.0098133
                  94,            0.021998,            0.020189,            0.019857,             0.82778,             0.79194,             0.87338,             0.71811,            0.013101,           0.0091723,            0.010785,           0.0098093,           0.0098093,           0.0098093
                  95,            0.022093,            0.020016,            0.020959,             0.80327,             0.81119,              0.8797,             0.72899,            0.012496,           0.0089368,            0.010738,           0.0098052,           0.0098052,           0.0098052
                  96,            0.021821,            0.020214,             0.01993,             0.86116,             0.77813,             0.87783,             0.72221,            0.012516,           0.0089631,           0.0095376,           0.0098011,           0.0098011,           0.0098011
                  97,            0.021507,            0.020143,            0.020125,             0.86272,             0.78952,             0.88369,             0.73308,            0.012486,           0.0090726,           0.0089972,           0.0097969,           0.0097969,           0.0097969
